天津市耀华中学,yaohua1927
天津市第二十中学,tj20ms
天津市第二南开中学,tj2nankai
天津市第五十五中学,tj55zhongxue
天津市双菱中学,gh_9ab3f45b3ea8
天津市耀华嘉诚国际中学,tjsyhjcgjzx
天津市建华中学,tjjhzx
天津市新华中学,tjsxhzx
天津市第四十二中学,tj42zx
天津市第四十一中学,tj41zhong
天津市第四中学,tjsztjzl
天津市海河中学,hhzx1895
北京师范大学天津附属中学,BSDTJFZ
天津市第二新华中学,gh_cebafcff8505
天津市梧桐中学,gh_87f940c8f68b
天津市南开中学,tjsnkzx
天津市天津中学,Tianjin_school
南开大学附属中学,nkdxfszx
天津大学附属中学,tjdxfszx
天津市第七中学,gh_197fbeeba16e
天津市第二中学,tjerzhong
天津市第三中学,tj3zhong
天津市翔宇国际学校,gh_4ba7b140651a
天津市新华圣功学校,gh_3acbbb0b5666
天津市河西区实验求是学校,gh_220ffd4f8057
天津市河西区汇德学校,gh_ff09d28a169e
天津市逸阳梅江湾国际学校,yymjw2007
天津外国语大学附属外国语学校,gh_5cd1256751cc
天津英华国际学校,yinghuaguojixuexiao
六力国际学校,tianjinliulixuexiao
天津为明国际学校,TJWMEDU
天津市第一中学,tianjinyizhong
